Building_type,Property_type,Climate_type,Soil_type,Budget,Category,Location,Recommended_material
residential,penthouse,humid,rocky,medium,structural,rural residential,"Reinforced Cement Concrete (RCC),TMT Steel Bars,Fly Ash Bricks,Cement (OPC 43 Grade)"
residential,penthouse,cold,rocky,medium,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M25 Grade Concrete, Insulated Concrete Blocks, Waterproof Cement, Mild Steel Rods"
residential,penthouse,cold,sandy,medium,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M25 Grade Concrete, Fly Ash Bricks, Waterproof Cement, Mild Steel Rods, Sand Stabilizer Additives"
residential,penthouse,cold,humid,medium,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M25 Grade Concrete, Fly Ash Bricks, Damp-Proof Course (DPC) Materials, Waterproof Cement, Anti-Corrosive Steel Coating"
residential,penthouse,cold,clayey,medium,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M25 Grade Concrete, Compressed Stabilized Earth Blocks (CSEB), Waterproof Cement, Anti-Fungal Coatings, Mild Steel Rods"
residential,penthouse,cold,loamy,medium,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M25 Grade Concrete, Fly Ash Bricks, Waterproof Cement, Mild Steel Rods, Anti-Fungal Wall Coating"
residential,penthouse,cold,clay,medium,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M25 Grade Concrete, Stabilized Mud Blocks, Waterproof Cement, Mild Steel Rods, Anti-Fungal Wall Coating"
residential,bungalow,hot,clayey,high,structural,urban residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M25 Grade Concrete, Solid Concrete Blocks, Waterproof Cement, Mild Steel Rods, Anti-Fungal Paint"
residential,studio apartment,humid,sandy,low,structural,suburban residential,"Cool Paint, OPC 53 Cement, Heat-Resistant Concrete, Reflective Roof Tiles, Premium AAC Blocks"
residential,duplex,cold,humid,medium,structural,rural residential,"Moisture-Resistant Bricks, Waterproof Concrete, Basic Cement, Ordinary Bricks, Anti-Fungal Paint"
residential,penthouse,hot,rocky,high,structural,rural residential,"Thermal Insulation Boards, Double-Glazed Windows, Fly Ash Bricks, OPC 43 Cement, Heavy Concrete Walls"
residential,duplex,cold,rocky,medium,structural,suburban residential,"Cool Paint, OPC 53 Cement, Heat-Resistant Concrete, Reflective Roof Tiles, Premium AAC Blocks"
residential,townhouse,hot,humid,medium,structural,rural residential,"Thermal Insulation Boards, Double-Glazed Windows, Fly Ash Bricks, OPC 43 Cement, Heavy Concrete Walls"
residential,duplex,humid,loamy,high,structural,urban residential,"Cool Paint, OPC 43 Cement, Fly Ash Bricks, Heat-Resistant Concrete, Reflective Roof Tiles"
residential,bungalow,cold,rocky,medium,structural,rural residential,"Moisture-Resistant Bricks, Waterproof Concrete, OPC 53 Cement, Premium AAC Blocks, Anti-Fungal Paint"
residential,villa,hot,loamy,low,structural,rural residential,"Thermal Insulation Boards, Double-Glazed Windows, Fly Ash Bricks, OPC 43 Cement, Heavy Concrete Walls"
residential,villa,hot,loamy,medium,structural,suburban residential,"Cool Paint, Heat-Resistant Concrete, Basic Cement, Reflective Roof Tiles, Ordinary Bricks"
residential,penthouse,humid,sandy,high,structural,rural residential,"Cool Paint, OPC 43 Cement, Fly Ash Bricks, Heat-Resistant Concrete, Reflective Roof Tiles"
residential,penthouse,humid,loamy,medium,structural,rural residential,"Moisture-Resistant Bricks, Waterproof Concrete, OPC 53 Cement, Premium AAC Blocks, Anti-Fungal Paint"
residential,studio apartment,temperate,loamy,medium,structural,urban residential,"Moisture-Resistant Bricks, Fly Ash Bricks, Waterproof Concrete, OPC 43 Cement, Anti-Fungal Paint"
residential,villa,humid,humid,medium,structural,rural residential,"TMT Steel Bars, Fly Ash Bricks, OPC 43 Cement, Standard RCC"
residential,bungalow,humid,loamy,low,structural,urban residential,"Moisture-Resistant Bricks, Fly Ash Bricks, Waterproof Concrete, OPC 43 Cement, Anti-Fungal Paint"
residential,townhouse,cold,humid,medium,structural,urban residential,"Moisture-Resistant Bricks, Waterproof Concrete, Basic Cement, Ordinary Bricks, Anti-Fungal Paint"
residential,apartment,humid,sandy,medium,structural,urban residential,"Thermal Insulation Boards, Double-Glazed Windows, Fly Ash Bricks, OPC 43 Cement, Heavy Concrete Walls"
residential,penthouse,humid,loamy,medium,structural,rural residential,"Moisture-Resistant Bricks, Fly Ash Bricks, Waterproof Concrete, OPC 43 Cement, Anti-Fungal Paint"
residential,duplex,temperate,humid,high,structural,suburban residential,"Moisture-Resistant Bricks, Fly Ash Bricks, Waterproof Concrete, OPC 43 Cement, Anti-Fungal Paint"
residential,apartment,temperate,loamy,medium,structural,suburban residential,"TMT Steel Bars, OPC 53 Cement, Fly Ash Bricks, Standard RCC, Premium AAC Blocks"
residential,row house,temperate,loamy,medium,structural,urban residential,"TMT Steel Bars, Fly Ash Bricks, OPC 43 Cement, Standard RCC"
residential,farmhouse,humid,loamy,low,structural,urban residential,"TMT Steel Bars, Fly Ash Bricks, OPC 43 Cement, Standard RCC"
residential,villa,temperate,loamy,low,structural,rural residential,"Moisture-Resistant Bricks, Waterproof Concrete, Basic Cement, Ordinary Bricks, Anti-Fungal Paint"
residential,townhouse,cold,humid,low,structural,suburban residential,"TMT Steel Bars, Fly Ash Bricks, Basic Cement, Standard RCC, Ordinary Bricks"
residential,studio apartment,temperate,humid,low,structural,rural residential,"Thermal Insulation Boards, Double-Glazed Windows, Heavy Concrete Walls, Basic Cement, Ordinary Bricks"
residential,house,hot,humid,high,structural,suburban residential,"TMT Steel Bars, Fly Ash Bricks, Basic Cement, Standard RCC, Ordinary Bricks"
residential,villa,cold,rocky,high,structural,rural residential,"Cool Paint, OPC 53 Cement, Heat-Resistant Concrete, Reflective Roof Tiles, Premium AAC Blocks"
residential,duplex,temperate,loamy,high,structural,rural residential,"Thermal Insulation Boards, Double-Glazed Windows, Heavy Concrete Walls, OPC 53 Cement, Premium AAC Blocks"
residential,townhouse,humid,sandy,medium,structural,urban residential,"TMT Steel Bars, OPC 53 Cement, Fly Ash Bricks, Standard RCC, Premium AAC Blocks"
residential,bungalow,humid,loamy,medium,structural,suburban residential,"Moisture-Resistant Bricks, Fly Ash Bricks, Waterproof Concrete, OPC 43 Cement, Anti-Fungal Paint"
